id;employee_number;first_name;last_name;phone_number;job_title;department;status;created_date;last_modified_date
1;knavishly;Rachel;Greenholt;everlasting;Human Branding Executive;hmph;SUSPENDED;2026-08-15T06:30:08;2026-08-15T13:58:20
2;character;Agustin;Medhurst;gum;Global Infrastructure Strategist;soggy secondary ick;INACTIVE;2026-08-15T05:46:28;2026-08-14T22:57:43
3;worth;Prudence;Schoen;yahoo;Human Integration Producer;when afore;INACTIVE;2026-08-14T18:51:32;2026-08-15T13:48:31
4;beautifully;Pearlie;Hintz;fervently upward but;Customer Data Executive;ew;SUSPENDED;2026-08-15T13:40:47;2026-08-14T20:46:39
5;rudely who;Einar;Boehm;how habit scotch;Investor Quality Engineer;guidance next;LOCKED;2026-08-14T18:15:07;2026-08-15T08:24:30
6;over defensive popularize;Rachelle;Emmerich;exploration primary underneath;Regional Applications Planner;overstay;SUSPENDED;2026-08-15T09:02:48;2026-08-15T11:12:09
7;cycle;Ramona;Bergstrom;garage sniff;Direct Optimization Supervisor;yowza;INACTIVE;2026-08-15T16:20:18;2026-08-15T14:57:15
8;towards that mould;Marsha;Douglas;noisily urban ride;Lead Research Designer;outside;INACTIVE;2026-08-14T22:24:57;2026-08-14T21:06:26
9;um;William;Rodriguez;window;Senior Security Planner;boohoo;INACTIVE;2026-08-15T02:26:34;2026-08-14T18:12:04
10;aha;Micheal;Wilderman;times;Internal Applications Director;carpool fray;INACTIVE;2026-08-14T20:48:39;2026-08-15T06:41:19
