id;first_name;middle_name;last_name;relationship;gender;birth_date;birth_place;nationality;phone_number;occupation;dependent;notes
1;Lela;huzzah disapprove phooey;McKenzie;whenever;steak while beside;2026-08-15;gadzooks hold;siege truly authentic;up grizzled throughout;narrowcast separate merry;true;../fake-data/blob/hipster.txt
2;Sophie;known when unabashedly;Johnston;pliers what promptly;canter knowledgeably gorgeous;2026-08-15;jot boyfriend bah;yak;awareness breastplate;speedily whoever supposing;false;../fake-data/blob/hipster.txt
3;Jackie;conjecture;Gislason;priesthood;plastic loosely;2026-08-15;paintwork vivaciously handle;repeatedly um;out;gleaming;false;../fake-data/blob/hipster.txt
4;Corey;pish;Hackett;massive;as;2026-08-14;venture;productive;boohoo bog scented;however;false;../fake-data/blob/hipster.txt
5;Kari;midst pave;Trantow;scramble better;when indeed sans;2026-08-15;inside warlike;knowingly;how till huzzah;absent;false;../fake-data/blob/hipster.txt
6;Valerie;whoever enroll rival;Jacobson;absent drat;garage flu;2026-08-15;total interior;critical inasmuch minty;vice bah while;under seal fictionalize;false;../fake-data/blob/hipster.txt
7;Elbert;hm stable since;Hilll;representation gulp pro;while husband;2026-08-14;deform swanling;consequently angelic;ha although;late put;false;../fake-data/blob/hipster.txt
8;Teri;scruple;Boyle;suddenly;dress dependency;2026-08-14;above aside;ugh;upset;onto;false;../fake-data/blob/hipster.txt
9;Eliseo;secret weatherize than;Mayer-Beer;potentially absent why;so husband;2026-08-15;whale destock;but tomb floss;oddball verve;forsaken for;true;../fake-data/blob/hipster.txt
10;Ira;rot wedge;Zulauf;blissfully;gadzooks diversity;2026-08-15;anenst preclude really;glaring while serene;whistle;whoever like yippee;false;../fake-data/blob/hipster.txt
