id;legal_name;trade_name;registration_number;tax_number;legal_form;registration_date;email;phone_number;website;description
1;sauerkraut;how urgently bar;lovingly;unfinished;pfft;2026-08-15;Brandon.Romaguera27@yahoo.com;cruelly yowza stint;duh outnumber;../fake-data/blob/hipster.txt
2;pretend legging;display;bog gently;who pigsty;saw anti that;2026-08-15;Roman.Lehner13@yahoo.com;uh-huh;who restructure oh;../fake-data/blob/hipster.txt
3;jittery oily;worst;satirise calculating fly;yippee forenenst mothball;institute;2026-08-15;Vallie_Keeling@hotmail.com;irk;for cannon;../fake-data/blob/hipster.txt
4;with until ditch;bah aha ugh;well-groomed ack govern;blend mechanically hm;easily scamper zowie;2026-08-15;Katrina21@gmail.com;cloudy onset apud;puzzled fibre consequently;../fake-data/blob/hipster.txt
5;whoa;lock shoot inasmuch;yearly dazzling;replicate plait when;executor yearningly;2026-08-15;Lindsay_Konopelski97@yahoo.com;as through;past hence before;../fake-data/blob/hipster.txt
6;vivaciously when;viability ouch CD;reassuringly;yet throbbing negotiation;through inasmuch;2026-08-14;Benny87@hotmail.com;galoshes;why since frantically;../fake-data/blob/hipster.txt
7;prejudge;as;scornful unless taut;glass;excepting pinstripe supposing;2026-08-14;Leanne.Vandervort8@hotmail.com;under;dusk;../fake-data/blob/hipster.txt
8;basic;stunning;unlined weary as;superb trusty since;excellent;2026-08-15;Patty.Nikolaus2@gmail.com;cheetah;wherever;../fake-data/blob/hipster.txt
9;atop ragged;equate who;after barring;yahoo drain mom;boo;2026-08-15;Kaci_Shanahan@gmail.com;dim because amid;nor;../fake-data/blob/hipster.txt
10;prejudge ick versus;bitterly nephew definitive;partial;frantically near where;quarterly except operating;2026-08-15;Octavia.Rice-Bernhard@hotmail.com;even;whoever because politely;../fake-data/blob/hipster.txt
